participant,model,channel,channel_index,baseline_auc,occluded_auc,delta_auc,baseline_accuracy,occluded_accuracy,delta_accuracy
P03,eegnet,Cz,47,0.660625,0.6568750000000001,0.00374999999999992,0.5875,0.6125,-0.025000000000000022
P03,eegnet,C2,48,0.660625,0.671875,-0.011249999999999982,0.5875,0.6,-0.012499999999999956
P03,eegnet,C4,49,0.660625,0.633125,0.02749999999999997,0.5875,0.575,0.012500000000000067
P03,eegnet,C6,50,0.660625,0.6787500000000001,-0.018125000000000058,0.5875,0.6,-0.012499999999999956
P03,eegnet,T8,51,0.660625,0.661875,-0.0012499999999999734,0.5875,0.5875,0.0
P03,eegnet,TP8,52,0.660625,0.668125,-0.007499999999999951,0.5875,0.6375,-0.04999999999999993
P03,eegnet,CP6,53,0.660625,0.653125,0.007500000000000062,0.5875,0.6,-0.012499999999999956
P03,eegnet,CP4,54,0.660625,0.641875,0.018750000000000044,0.5875,0.5625,0.025000000000000022
P03,eegnet,CP2,55,0.660625,0.6562500000000001,0.004374999999999907,0.5875,0.625,-0.03749999999999998
P03,eegnet,P2,56,0.660625,0.6743750000000001,-0.01375000000000004,0.5875,0.6125,-0.025000000000000022
P03,eegnet,P4,57,0.660625,0.66875,-0.008124999999999938,0.5875,0.6125,-0.025000000000000022
P03,eegnet,P6,58,0.660625,0.6775,-0.016874999999999973,0.5875,0.6125,-0.025000000000000022
P03,eegnet,P8,59,0.660625,0.660625,0.0,0.5875,0.6,-0.012499999999999956
P03,eegnet,P10,60,0.660625,0.670625,-0.010000000000000009,0.5875,0.6,-0.012499999999999956
P03,eegnet,PO8,61,0.660625,0.6775,-0.016874999999999973,0.5875,0.65,-0.0625
P03,eegnet,PO4,62,0.660625,0.66375,-0.0031249999999999334,0.5875,0.5875,0.0
P03,eegnet,O2,63,0.660625,0.6725,-0.011874999999999969,0.5875,0.625,-0.03749999999999998
P05,eegnet,Fp1,0,0.705625,0.70375,0.00187499999999996,0.675,0.65,0.025000000000000022
P05,eegnet,AF7,1,0.705625,0.684375,0.02124999999999999,0.675,0.6375,0.03750000000000009
P05,eegnet,AF3,2,0.705625,0.6987500000000001,0.0068749999999998535,0.675,0.675,0.0
P05,eegnet,F1,3,0.705625,0.716875,-0.011250000000000093,0.675,0.6625,0.012500000000000067
P05,eegnet,F3,4,0.705625,0.701875,0.00374999999999992,0.675,0.6375,0.03750000000000009
P05,eegnet,F5,5,0.705625,0.7206250000000001,-0.015000000000000124,0.675,0.65,0.025000000000000022
P05,eegnet,F7,6,0.705625,0.7175,-0.01187500000000008,0.675,0.6375,0.03750000000000009
P05,eegnet,FT7,7,0.705625,0.704375,0.0012499999999999734,0.675,0.625,0.050000000000000044
P05,eegnet,FC5,8,0.705625,0.7112500000000002,-0.005625000000000213,0.675,0.6625,0.012500000000000067
P05,eegnet,FC3,9,0.705625,0.713125,-0.007500000000000062,0.675,0.6625,0.012500000000000067
P05,eegnet,FC1,10,0.705625,0.7175,-0.01187500000000008,0.675,0.6625,0.012500000000000067
P05,eegnet,C1,11,0.705625,0.7150000000000001,-0.009375000000000133,0.675,0.6375,0.03750000000000009
P05,eegnet,C3,12,0.705625,0.70625,-0.0006250000000000977,0.675,0.65,0.025000000000000022
P05,eegnet,C5,13,0.705625,0.70625,-0.0006250000000000977,0.675,0.625,0.050000000000000044
P05,eegnet,T7,14,0.705625,0.7050000000000001,0.0006249999999998757,0.675,0.65,0.025000000000000022
P05,eegnet,TP7,15,0.705625,0.70625,-0.0006250000000000977,0.675,0.65,0.025000000000000022
P05,eegnet,CP5,16,0.705625,0.7025000000000001,0.0031249999999998224,0.675,0.6625,0.012500000000000067
P05,eegnet,CP3,17,0.705625,0.693125,0.012499999999999956,0.675,0.65,0.025000000000000022
P05,eegnet,CP1,18,0.705625,0.7168749999999999,-0.011249999999999982,0.675,0.7,-0.02499999999999991
P05,eegnet,P1,19,0.705625,0.7075000000000001,-0.001875000000000182,0.675,0.7,-0.02499999999999991
P05,eegnet,P3,20,0.705625,0.7025,0.0031249999999999334,0.675,0.65,0.025000000000000022
P05,eegnet,P5,21,0.705625,0.6950000000000001,0.010624999999999885,0.675,0.65,0.025000000000000022
P05,eegnet,P7,22,0.705625,0.714375,-0.008750000000000036,0.675,0.6375,0.03750000000000009
P05,eegnet,P9,23,0.705625,0.700625,0.004999999999999893,0.675,0.6625,0.012500000000000067
P05,eegnet,PO7,24,0.705625,0.7093749999999999,-0.00374999999999992,0.675,0.65,0.025000000000000022
P05,eegnet,PO3,25,0.705625,0.7075,-0.001875000000000071,0.675,0.65,0.025000000000000022
P05,eegnet,O1,26,0.705625,0.715625,-0.010000000000000009,0.675,0.6875,-0.012499999999999956
P05,eegnet,Iz,27,0.705625,0.6950000000000001,0.010624999999999885,0.675,0.6625,0.012500000000000067
P05,eegnet,Oz,28,0.705625,0.678125,0.02749999999999997,0.675,0.625,0.050000000000000044
P05,eegnet,POz,29,0.705625,0.718125,-0.012500000000000067,0.675,0.675,0.0
P05,eegnet,Pz,30,0.705625,0.703125,0.0024999999999999467,0.675,0.675,0.0
P05,eegnet,CPz,31,0.705625,0.695,0.010624999999999996,0.675,0.6375,0.03750000000000009
P05,eegnet,Fpz,32,0.705625,0.71,-0.004375000000000018,0.675,0.6625,0.012500000000000067
P05,eegnet,Fp2,33,0.705625,0.7093750000000001,-0.003750000000000142,0.675,0.65,0.025000000000000022
P05,eegnet,AF8,34,0.705625,0.69875,0.0068749999999999645,0.675,0.65,0.025000000000000022
P05,eegnet,AF4,35,0.705625,0.701875,0.00374999999999992,0.675,0.6625,0.012500000000000067
P05,eegnet,AFz,36,0.705625,0.711875,-0.006250000000000089,0.675,0.6625,0.012500000000000067
P05,eegnet,Fz,37,0.705625,0.715625,-0.010000000000000009,0.675,0.6625,0.012500000000000067
P05,eegnet,F2,38,0.705625,0.6937499999999999,0.01187500000000008,0.675,0.675,0.0
P05,eegnet,F4,39,0.705625,0.693125,0.012499999999999956,0.675,0.625,0.050000000000000044
P05,eegnet,F6,40,0.705625,0.7062499999999999,-0.0006249999999999867,0.675,0.6625,0.012500000000000067
P05,eegnet,F8,41,0.705625,0.7124999999999999,-0.0068749999999999645,0.675,0.6625,0.012500000000000067
P05,eegnet,FT8,42,0.705625,0.704375,0.0012499999999999734,0.675,0.625,0.050000000000000044
P05,eegnet,FC6,43,0.705625,0.7,0.005624999999999991,0.675,0.6625,0.012500000000000067
P05,eegnet,FC4,44,0.705625,0.68625,0.01937499999999992,0.675,0.65,0.025000000000000022
P05,eegnet,FC2,45,0.705625,0.7,0.005624999999999991,0.675,0.65,0.025000000000000022
P05,eegnet,FCz,46,0.705625,0.7068749999999999,-0.0012499999999999734,0.675,0.675,0.0
P05,eegnet,Cz,47,0.705625,0.695,0.010624999999999996,0.675,0.625,0.050000000000000044
P05,eegnet,C2,48,0.705625,0.705625,0.0,0.675,0.65,0.025000000000000022
P05,eegnet,C4,49,0.705625,0.705625,0.0,0.675,0.6625,0.012500000000000067
P05,eegnet,C6,50,0.705625,0.705625,0.0,0.675,0.6875,-0.012499999999999956
P05,eegnet,T8,51,0.705625,0.6993750000000001,0.006249999999999867,0.675,0.625,0.050000000000000044
P05,eegnet,TP8,52,0.705625,0.7006249999999999,0.0050000000000000044,0.675,0.625,0.050000000000000044
P05,eegnet,CP6,53,0.705625,0.7206250000000001,-0.015000000000000124,0.675,0.6875,-0.012499999999999956
P05,eegnet,CP4,54,0.705625,0.714375,-0.008750000000000036,0.675,0.65,0.025000000000000022
P05,eegnet,CP2,55,0.705625,0.7087500000000001,-0.0031250000000001554,0.675,0.65,0.025000000000000022
P05,eegnet,P2,56,0.705625,0.6993750000000001,0.006249999999999867,0.675,0.65,0.025000000000000022
P05,eegnet,P4,57,0.705625,0.7024999999999999,0.0031250000000000444,0.675,0.6375,0.03750000000000009
P05,eegnet,P6,58,0.705625,0.694375,0.011249999999999982,0.675,0.6625,0.012500000000000067
P05,eegnet,P8,59,0.705625,0.6956249999999999,0.010000000000000009,0.675,0.675,0.0
P05,eegnet,P10,60,0.705625,0.7050000000000001,0.0006249999999998757,0.675,0.6875,-0.012499999999999956
P05,eegnet,PO8,61,0.705625,0.7125,-0.0068750000000000755,0.675,0.675,0.0
P05,eegnet,PO4,62,0.705625,0.6993750000000001,0.006249999999999867,0.675,0.65,0.025000000000000022
P05,eegnet,O2,63,0.705625,0.68,0.025624999999999898,0.675,0.6125,0.0625
P06,eegnet,Fp1,0,0.726875,0.7081249999999999,0.018750000000000155,0.6,0.5875,0.012499999999999956
P06,eegnet,AF7,1,0.726875,0.73625,-0.009374999999999911,0.6,0.6125,-0.012500000000000067
P06,eegnet,AF3,2,0.726875,0.709375,0.01750000000000007,0.6,0.6125,-0.012500000000000067
P06,eegnet,F1,3,0.726875,0.725,0.001875000000000071,0.6,0.6125,-0.012500000000000067
P06,eegnet,F3,4,0.726875,0.721875,0.0050000000000000044,0.6,0.625,-0.025000000000000022
P06,eegnet,F5,5,0.726875,0.72,0.0068750000000000755,0.6,0.5875,0.012499999999999956
P06,eegnet,F7,6,0.726875,0.7293750000000001,-0.0025000000000000577,0.6,0.6,0.0
P06,eegnet,FT7,7,0.726875,0.7212500000000001,0.005624999999999991,0.6,0.5875,0.012499999999999956
